Energy_Source,Transport,Frequency of Transport,Waste Production,How Long Machine Works Daily,Machine repairing(in Months),Energy efficiency,Recycling Waste,CarbonEmission
coal,public,frequently,large Scale,7,1,No,YES,2238
natural gas,public,rarely,Mega Scale,9,2,No,YES,1892
wood,private,rarely,small Scale,14,2,Sometimes,YES,2595
wood,public,rarely,medium Scale,20,0,Sometimes,YES,1074
coal,private,very frequently,large Scale,3,0,Yes,YES,4743
wood,public,frequently,large Scale,22,1,Sometimes,YES,1647
wood,private,rarely,medium Scale,9,0,Sometimes,NO,1832
coal,private,very frequently,Mega Scale,5,2,No,YES,2322
wood,public,frequently,medium Scale,3,1,Yes,YES,2494
wood,public,rarely,Mega Scale,8,1,Sometimes,YES,1178
wood,public,rarely,Mega Scale,12,1,No,YES,1427
coal,private,very frequently,medium Scale,9,0,Sometimes,NO,3226
coal,public,rarely,large Scale,18,1,Yes,YES,1593
electricity,private,rarely,large Scale,13,1,Sometimes,YES,1732
natural gas,public,rarely,small Scale,13,1,No,YES,1743
electricity,public,very frequently,small Scale,9,1,No,YES,2101
electricity,private,frequently,Mega Scale,23,2,Sometimes,NO,2609
wood,public,rarely,large Scale,1,0,Yes,YES,1565
electricity,private,very frequently,medium Scale,6,2,Sometimes,NO,5272
wood,public,rarely,small Scale,15,1,No,YES,1220
electricity,private,rarely,large Scale,0,0,No,YES,1300
wood,public,rarely,large Scale,6,0,No,YES,1024
wood,public,rarely,small Scale,14,0,Sometimes,YES,706
coal,private,frequently,small Scale,17,1,Yes,YES,2582
coal,private,very frequently,medium Scale,5,1,Yes,YES,4284
electricity,public,rarely,medium Scale,17,0,Sometimes,YES,807
electricity,public,frequently,large Scale,4,2,Sometimes,YES,1991
electricity,public,rarely,large Scale,14,2,Sometimes,YES,1817
wood,public,rarely,small Scale,10,0,No,YES,1490
electricity,public,frequently,small Scale,13,2,Yes,YES,1561
wood,public,frequently,medium Scale,23,2,Yes,YES,2202
coal,public,frequently,large Scale,24,0,Sometimes,NO,2024
natural gas,private,frequently,medium Scale,1,2,No,YES,1659
wood,private,very frequently,small Scale,9,0,Sometimes,YES,3911
coal,private,rarely,medium Scale,11,0,Yes,YES,1204
coal,public,very frequently,large Scale,1,2,Yes,YES,2431
electricity,private,frequently,medium Scale,16,0,Sometimes,YES,1640
natural gas,public,frequently,medium Scale,17,0,No,YES,1648
wood,private,rarely,small Scale,15,0,Sometimes,YES,1002
coal,public,frequently,small Scale,19,2,Yes,YES,1771
electricity,public,very frequently,Mega Scale,20,1,Yes,YES,2028
coal,public,very frequently,medium Scale,15,1,No,YES,2540
electricity,public,rarely,medium Scale,14,2,No,YES,1386
coal,private,rarely,small Scale,22,1,Sometimes,YES,1679
wood,private,very frequently,small Scale,16,1,Yes,YES,3141
wood,public,very frequently,large Scale,0,0,No,YES,2627
wood,private,rarely,large Scale,13,2,Yes,YES,1188
electricity,private,rarely,Mega Scale,1,0,Yes,YES,3174
natural gas,public,frequently,large Scale,19,0,Sometimes,YES,2327
wood,public,very frequently,medium Scale,22,0,Yes,YES,1822
natural gas,private,rarely,medium Scale,0,2,No,YES,2665
electricity,public,frequently,Mega Scale,22,2,Yes,YES,2129
wood,public,rarely,medium Scale,18,0,Yes,YES,1425
electricity,private,frequently,large Scale,0,0,Sometimes,YES,1690
natural gas,public,rarely,medium Scale,13,1,Sometimes,YES,1717
coal,private,frequently,large Scale,4,2,No,YES,4060
electricity,private,rarely,Mega Scale,14,1,No,YES,3262
coal,public,rarely,Mega Scale,9,1,Yes,YES,1674
natural gas,private,frequently,small Scale,0,2,Sometimes,YES,3135
natural gas,private,rarely,Mega Scale,1,2,Yes,YES,4465
electricity,public,rarely,Mega Scale,23,2,Sometimes,NO,1984
electricity,private,very frequently,large Scale,21,1,Yes,YES,3246
electricity,public,frequently,large Scale,1,0,No,YES,1351
coal,public,rarely,Mega Scale,24,2,No,YES,1929
electricity,private,frequently,large Scale,24,0,Yes,NO,2719
coal,private,frequently,large Scale,11,2,Yes,YES,2336
wood,public,rarely,small Scale,0,2,Sometimes,YES,1270
natural gas,private,rarely,large Scale,20,0,Yes,YES,1803
